"storm_id","lab_id","num_subsamples","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","instant_discharge","storm_type","Suspended Sediment (80154), mg/L","Flag_Suspended Sediment","Suspended Sediment Load, pounds","Chloride (00940), mg/L","Flag_Chloride","Chloride Load, pounds","NO2+NO3(N) (00631), mg/L","Flag_NO2+NO3(N)","NO2+NO3(N) Load, pounds","Ammonium (N) (00608), mg/L","Flag_Ammonium (N)","Ammonium (N) Load, pounds","TKN Unfiltered (00625), mg/L","Flag_TKN Unfiltered","TKN Unfiltered Load, pounds","Dissolved Reactive Phosphorus (00672), mg/L","Flag_Dissolved Reactive Phosphorus ","Dissolved Reactive Phosphorus Load, pounds","TP Unfiltered (00665), mg/L","Flag_TP Unfiltered","TP Unfiltered Load, pounds","Total Nitrogen, computed, mg/L","Total Nitrogen Load, in pounds","Organic Nitrogen, computed, mg/L","Organic Nitrogen Load, pounds","frozen","site","water_year","estimated","discrete","comments"
"ESW3-22","542-14-3",NA,"41915.2291666667","41915.40625","41915.2270833333","41915.4166666667","0.0543","423.36",NA,NA,"69","HT","1.82364378","12.4",NA,"0.327727288","1.5",NA,"0.03964443","0.17",NA,"0.0044930354","1.88",NA,"0.0496876856","0.137",NA,"0.00362085794","0.398",NA,"0.01051898876","3.38","0.0893321156","1.71","0.0451946502",FALSE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-23","562-14-1",NA,"41925.8006944444","41926.3333333333","41925.8","41926.34375","0.1497","1779.84",NA,NA,"124","HT","13.77792272","22.4",NA,"2.488915072","<0.1",NA,"0.005555614","0.02",NA,"0.0022222456","4.1",NA,"0.455560348","0.63",NA,"0.0700007364","1.31",NA,"0.1455570868","4.15","0.461115962","4.08","0.4533381024",FALSE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-24","562-14-2",NA,"41926.5104166667","41926.65625","41926.5076388889","41926.6666666667","0.0652","336.96",NA,NA,"60","HT","1.2621492","24.4",NA,"0.513274008","<0.1",NA,"0.001051791","0.06",NA,"0.0012621492","3.43",NA,"0.0721528626","0.33",NA,"0.0069418206","0.736",NA,"0.01548236352","3.48","0.0732046536","3.37","0.0708907134",FALSE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-25","562-14-3",NA,"41927.0569444444","41927.25","41927.0541666667","41927.2916666667","0.0478","362.88",NA,NA,"32","HT","0.72492672","21.7",NA,"0.491590932","<0.1",NA,"0.001132698","0.09",NA,"0.0020388564","2.34",NA,"0.0530102664","0.24",NA,"0.0054369504","0.443",NA,"0.01003570428","2.39","0.0541429644","2.25","0.05097141",FALSE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-26","650-14-3","3","41989.2986111111","41989.6326388889","41989.2916666667","41989.6326388889","0.0247","440.64",NA,NA,"174","HT","4.78645812","68.4",NA,"1.881573192","5.1",NA,"0.140292738","1.83",NA,"0.0503403354","7.1",NA,"0.195309498","0.139",NA,"0.00382366482","0.524",NA,"0.01441439112","12.2","0.335602236","5.27","0.1449691626",TRUE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-27","2-15-2",NA,"41996.1979166667","41996.4222222222","41996.1979166667","41996.4222222222","0.7759","5711.04",NA,NA,"1256","HT","447.80190608","26.6",NA,"9.483702788","3.2",NA,"1.140896576","1.39",NA,"0.4955769502","10.3",NA,"3.672260854","0.146",NA,"0.05205340628","2.68",NA,"0.9555008824","13.5","4.81315743","8.91","3.1766839038",TRUE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-28","15-69-12",NA,"42071.5208333333","42071.7708333333","42071.5104166667","42071.78125","0.11","1114.56",NA,NA,"893","HT","62.13495786","9.4",NA,"0.654052188","1.2",NA,"0.083496024","1.25",NA,"0.086975025","5.3",NA,"0.368774106","0.206",NA,"0.01433348412","1.33",NA,"0.0925414266","6.5","0.45227013","4.05","0.281799081",TRUE,"SW3","WY15",FALSE,FALSE,NA
NA,NA,NA,NA,NA,"42072.4583333333","42072.7604166667","0.0185","164.16",NA,NA,"893",NA,"9.15166046","9.4",NA,"0.096333268","1.2",NA,"0.012297864","1.25",NA,"0.012810275","5.3",NA,"0.054315566","0.206",NA,"0.00211113332","1.33",NA,"0.0136301326","6.5","0.06661343","4.05","0.041505291",TRUE,"SW3","WY15",TRUE,FALSE,NA
"ESW3-29",NA,NA,"42103.6152777778","42103.7604166667","42103.6152777778","42103.7604166667","0.0303","95.04",NA,NA,"1614",NA,"9.57615252","44.3",NA,"0.262839874","10.4",NA,"0.061705072","0.27",NA,"0.0016019586","13.9",NA,"0.082471202","0.067",NA,"0.00039752306","4.09",NA,"0.0242667062","24.3","0.144176274","13.63","0.0808692434",FALSE,"SW3","WY15",FALSE,FALSE,NA
"ESW3-30",NA,NA,"42103.8020833333","42104","42103.8020833333","42104.0104166667","0.0773","259.2",NA,NA,"1779",NA,"28.7867106","48",NA,"0.7767072","17.6",NA,"0.28479264","0.41",NA,"0.006634374","15.3",NA,"0.24757542","0.064",NA,"0.0010356096","4.14",NA,"0.066990996","32.9","0.53236806","14.89","0.240941046",FALSE,"SW3","WY15",FALSE,FALSE,NA
