"stormnum","StartDate","EndDate","rain","duration","Ievent","I5","I10","I15","I30","I60","energy","erosivity_m1","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","site"
"SW1-49",2015-06-11 21:20:00,2015-06-12 06:19:00,0.773999979,8.98333333333333,0.086159552393321,0.216000084,0.16200042,0.144000056,0.144000052,0.126000046,346.056633454051,0.498321732123283,0.631388765167137,0.540000011,0.558000011,0.953999999,1.772999983,"SW1"
"SW1-5",2012-03-12 01:29:00,2012-03-12 06:10:00,0.378,4.68333333333333,0.080711743772242,0.216,0.216,0.216,0.18,0.162,184.340941270434,0.331813694286782,0.401180099256595,0,0,0.297,0.297,"SW1"
"SW1-50",2015-06-15 15:31:00,2015-06-15 17:43:00,0.680000028,2.2,0.309090921818182,1.68000024,1.38000012,1.0640001,0.802000068,0.536000039,564.482417701909,4.52714937381736,4.47681625882581,0,0.017999999,1.412999975,1.763999977,"SW1"
"SW1-51",2015-09-08 08:08:00,2015-09-08 13:15:00,1.353000038,5.11666666666667,0.26442997485342,3.672,2.880000138,2.064000148,1.103999982,0.875000036,1200.26571384647,13.2509332648172,13.1782998140066,0.108000044,0.864000034,1.082000023,1.487000015,"SW1"
"SW1-52",2015-09-18 21:18:00,2015-09-19 03:10:00,0.927,5.86666666666667,0.158011363636364,0.972000516,0.648000336,0.504000248,0.414000042,0.360000075,624.686108184581,2.58620075025233,2.76731587128171,0.243000023,0.558000022,0.558000022,2.784000094,"SW1"
"SW1-53",2015-11-26 13:05:00,2015-11-27 01:18:00,1.161,12.2166666666667,0.0950341064120055,0.324,0.27,0.252,0.216,0.18,554.783150273389,1.19833160459052,1.48348463147948,0.054,0.054,0.054,0.774,"SW1"
"SW1-54",2015-11-30 22:09:00,2015-12-01 08:12:00,0.369,10.05,0.0367164179104478,0.324,0.27,0.252,0.18,0.117,167.171411555128,0.300908540799231,0.344631008369293,0.009,0.018,1.233,1.953,"SW1"
"SW1-55",2015-12-13 04:32:00,2015-12-13 09:10:00,0.835,4.63333333333333,0.180215827338129,1.452,1.092,0.872,0.544,0.29,670.315030724309,3.64651376714024,3.61724531824793,0,0,0.108,0.495,"SW1"
"SW1-56",2015-12-16 05:26:00,2015-12-16 10:57:00,0.189,5.51666666666667,0.0342598187311178,0.216,0.216,0.18,0.162,0.108,82.5010744259423,0.133651740570027,0.15489999985672,0.009,0.513,2.771,2.771,"SW1"
"SW1-58",2016-03-09 02:34:00,2016-03-09 05:16:00,0.162,2.7,0.06,0.432,0.324,0.216,0.162,0.09,78.4283475771301,0.127053923074951,0.145590311562659,0,0,0,0,"SW1"
"SW1-59",2016-03-13 17:50:00,2016-03-14 04:20:00,0.306,10.5,0.0291428571428571,0.108,0.108,0.108,0.09,0.072,110.639646724572,0.099575682052115,0.115848193682536,0,0,0.171,0.171,"SW1"
"SW1-6",2012-04-19 16:39:00,2012-04-20 05:50:00,1.485,13.1833333333333,0.112642225031606,0.432,0.378,0.36,0.324,0.297,853.470383310728,2.76524404192676,3.17919218928159,0,0.073,1.02,1.047,"SW1"
"SW1-60",2016-03-27 10:12:00,2016-03-27 10:13:00,0.009,0.0166666666666667,0.54,0.108,0.054,0.036,0.018,0.009,0,0,0,0,0,0,1.545,"SW1"
"SW1-61",2016-03-30 22:20:00,2016-03-31 06:07:00,0.657,7.78333333333333,0.0844111349036403,0.54,0.486,0.432,0.342,0.288,380.012345861345,1.2996422228458,1.46250199074791,0.027,0.027,0.225,0.225,"SW1"
"SW1-62",2016-06-15 18:27:00,2016-06-15 19:36:00,0.734,1.15,0.638260869565217,1.14,1.08,1.06,0.979999999999999,0.716,689.460929146396,6.75671710563467,6.32754679525036,0.406,0.478,1.053,1.089,"SW1"
"SW1-63",2016-06-26 03:22:00,2016-06-26 07:09:00,1.218,3.78333333333333,0.321938325991189,2.208,1.788,1.608,1.27,0.966,1104.11919035047,14.0223137174509,13.5260134905823,0,0,0.295,2.091,"SW1"
"SW1-64",2016-07-29 01:45:00,2016-07-29 04:10:00,0.974,2.41666666666667,0.403034482758621,2.076,1.902,1.876,1.6,0.947,954.805051653318,15.2768808264531,14.332978480156,0.099,0.126,0.793,1.805,"SW1"
"SW1-66",2016-09-10 04:28:00,2016-09-10 05:13:00,0.254,0.75,0.338666666666667,0.66,0.546,0.436,0.344,0.254,192.340828866308,0.661652451300099,0.67152105698078,0.22,0.229,2.309,2.886,"SW1"
"SW1-68",2016-09-21 20:39:00,2016-09-22 09:11:00,1.374,12.5333333333333,0.109627659574468,1.128,0.671999999999999,0.447999999999999,0.382,0.315,892.243015588419,3.40836831954776,3.67399964199508,0.153,0.153,0.485,3.776,"SW1"
"SW1-7",2012-05-02 05:05:00,2012-05-02 07:32:00,0.505,2.45,0.206122448979592,1.596,1.464,1.192,0.74,0.406,423.218994594451,3.13182055999894,3.07852590286275,0,0,0.279,1.846,"SW1"
"SW3-10",2014-05-07 00:38:00,2014-05-07 07:44:00,0.696,7.1,0.0980281690140845,3.276,2.598,2.06,1.156,0.587,658.314580445857,7.6101165499541,7.26712141709588,0,0,0.0809999999999999,1.08,"SW3"
"SW3-1073",2015-11-26 12:59:00,2015-11-27 01:10:00,1.152,12.1833333333333,0.0945554035567716,0.324,0.27,0.252,0.216,0.189,553.634691985841,1.19585093468942,1.47541538890806,0.036,0.036,0.036,0.666,"SW3"
"SW3-11",2014-05-12 04:30:00,2014-05-12 07:47:00,0.984,3.28333333333333,0.299695431472081,1.92,1.392,1.184,0.995999999999999,0.813,878.722595165068,8.75207704784407,8.46415826600192,0.243,0.243,1.263,1.902,"SW3"
"SW3-12",2014-06-01 16:01:00,2014-06-02 04:04:00,2.628,12.05,0.218091286307054,2.892,2.526,2.1,1.302,0.815,2300.28132998224,29.9496629163688,29.6742496304144,0,0,0.072,0.072,"SW3"
